Level,MP3,Character,Pinyin,Class,Mean
3,55,啊,a,感,感嘆詞（文末 感嘆の語気）
3,4121,阿姨,ā yí,名,おばさん 母の姉妹
1,3896,爱,ài,動,愛する （行い 状態を）好む
3,4122,矮,ǎi,形,低い（背丈が）
3,4123,爱好,ài hào,名,趣味 好み
4,,爱情,ài qíng,名,愛情
4,,暗,àn,形,暗い
3,4124,安静,ān jìng,形,静かである
4,,安排,ān pái,動,段取りをする
4,,安全,ān quán,形,安全である
4,,按时,àn shí,副,時間どおりに
4,,按照,àn zhào,介,…によって …にもとづいて
2,34,吧,ba,感,感嘆詞（語気をやわらげる）
3,10349,把,bǎ,量,…把（取っ手 柄のあるものを数える）
1,3897,八,bā,数,八
1,3898,爸爸,bà ba,名,お父さん
2,35,白,bái,形,白い
2,4011,百,bǎi,数,百
3,4128,半,bàn,数,半分 ２分の１
3,4125,班,bān,名,クラス
3,4126,搬,bān,動,運ぶ 引っ越しする
3,56,办法,bàn fǎ,名,方法 やりかた
3,4127,办公室,bàn gōng shì,名,事務室
3,57,帮忙,bāng máng,動,手伝う
2,4012,帮助,bāng zhù,動,助ける 援助する
4,,抱,bào,動,抱く
3,4130,饱,bǎo,形,満腹である
3,4129,包,bāo,量,…包み（包んだ物を数える）
4,,报道,bào dào,名,報道 レポート
4,,保护,bǎo hù,動,保護（する）
4,,包括,bāo kuò,動,含む 包含する
4,,报名,bào míng,動,申し込む
4,,抱歉,bào qiàn,動,すまなく思う
4,,保证,bǎo zhèng,動,保証（する）
2,4013,报纸,bào zhǐ,名,新聞
3,,背,bèi,動,暗記する
4,59,被,bèi,介,…によって（受身を表す）
3,58,北方,běi fāng,名,北方
1,3900,北京,Běi jīng,名固,北京
1,3899,杯子,bēi zi,名,コップ さかずき
4,,笨,bèn,形,愚かである
1,1,本,běn,量,…冊（書籍・ノートを数える）
4,,本来,běn lái,副,本来（は）
2,4014,比,bǐ,介,…と比べて
4,,笔记本,bǐ jì běn,名,ノート
3,10350,比较,bǐ jiào,動,比較する
3,4131,比赛,bǐ sài,動,試合する
3,4132,必须,bì xū,能,…しなくてはならない
4,,毕业,bì yè,動,卒業する
3,60,鼻子,bí zi,名,鼻
4,,遍,biàn,量,…回 （はじめから終わりまでの）一通り
3,4133,变化,biàn huà,動,変化する
4,,表达,biǎo dá,動,表現 表明（する）
4,,表格,biǎo gé,名,表
3,10351,表示,biǎo shì,動,表示する 示す 表す
3,4134,表演,biǎo yǎn,動,演じる
4,,表扬,biǎo yáng,動,表彰する
4,,标准,biāo zhǔn,名,標準
2,36,别,bié,副,…してはいけない
3,61,别人,bié ren,名,他人 ひと様 ほかの人一般
3,4135,宾馆,bīn guǎn,名,ホテル
4,,饼干,bǐng gān,名,ビスケット
4,,并且,bìng qiě,接,しかも そのうえ
3,4136,冰箱,bīng xiāng,名,冷蔵庫
4,,博士,bó shì,名,博士
1,3901,不,bù,副,いいえ …しない …ではない
4,,不但,bú dàn,接,…ばかりでなく
4,,不得不,bù dé bù,副,…しないわけにはいかない
4,,不管,bù guǎn,接,…にかかわらず
4,,不过,bú guò,接,しかし けど
4,,不仅,bù jǐn,接,…であるのみならず
1,10327,不客气,bú kè qi,他,どういたしまして
4,,擦,cā,動,拭く
3,62,才,cái,副,いま…したばかり やっと
1,3902,菜,cài,名,料理 おかず
4,,猜,cāi,動,答えを当てる
3,4137,菜单,cài dān,名,メニュー お品書き
4,,材料,cái liào,名,材料
4,,参观,cān guān,動,参観する 見学する
3,4138,参加,cān jiā,動,参加する
3,63,草,cǎo,名,草
